Time (s),Speed (m/s),PWM,Inverter Temp (C),Fan CFM,Passive CFM,Total CFM
0.0,0.0,255.0,40.0,224.0,0.0,224.0
3.0303030303030303,1.9027175896969353,254.4866025003305,40.634239196565645,223.5490155297021,403.1634051892222,626.7124207189242
6.0606060606060606,3.797773607212478,252.94847727185277,41.26592453573749,222.1978780740981,804.7034136397591,1026.9012917138573
9.09090909090909,5.677537330812307,250.39181780199024,41.892512443604105,219.95202818684632,1203.0031654586244,1422.9551936454707
12.121212121212121,7.534439615432377,246.8269188560709,42.51147987181079,216.82050911278384,1596.458848122659,1813.2793572354428
15.151515151515152,9.361003370954613,242.26813502394108,43.12033445698487,212.81593037397178,1983.4861544655055,2196.302084839477
18.18181818181818,11.149873669809827,236.73382291909851,43.71662455660328,207.95441699560024,2362.5266621233986,2570.481079118999
21.21212121212121,12.89384736267515,230.24626726308836,44.297949120891715,202.25554457620308,2732.054108751985,2934.3096533281882
24.242424242424242,14.585902083014059,222.83159115279514,44.86196736100469,195.7422604636318,3090.5805377460997,3286.3227982097314
27.272727272727273,16.219224523667922,214.5196508719512,45.40640817455598,188.4407913541846,3436.662289715854,3625.1030810700386
30.303030303030305,17.787237871639213,205.34391567042,45.929079290546404,180.38053768695715,3768.905815593464,3949.2863532804213
33.333333333333336,19.283628290596177,195.34133299533946,46.42787609686539,171.59395525865114,4085.973287963501,4257.567243222153
36.36363636363636,20.70237034446336,184.5521797167929,46.90079011482112,162.1164245355357,4386.587988021722,4548.7044125572575
39.39393939393939,22.037751259726004,173.0198999470687,47.345917086575334,151.9861081887976,4669.539446471076,4821.525554659874
42.42424242424242,23.284393928752706,160.79093010655322,47.761464642917566,141.243797426933,4933.688317654341,5074.932115081274
45.45454545454545,24.437278561510077,147.91451194065553,48.14575952050336,129.9327477439484,5177.97096729696,5307.9037150409085
48.484848484848484,25.491762898485433,134.44249424067812,48.49725429949514,118.09850474475253,5401.403755386861,5519.502260131614
51.515151515151516,26.443600903427456,120.4291240670341,48.81453363447582,105.78872074908092,5603.086996945618,5708.875717694699
54.54545454545455,27.288959860635547,105.93082831548104,49.09631995354518,93.05296291242256,5782.208584742318,5875.26154765474
57.57575757575758,28.0244358079532,91.00598650592732,49.341478602651065,79.9425136365793,5938.04725936275,6017.989772999329
60.60606060606061,28.64706724332222,75.71469570871012,49.54902241444074,66.51016407353359,6069.975513466507,6136.485677540041
